Title, Rotten Tomato Rating, IMDB, Metascore, File loc 
300,upright,7.8,51,Move-Item E:\Movies\My Movies\300 (2006).mkv E:\Purge,
Austin Powers in Goldmember,spilled,6.2,62,Move-Item E:\Movies\My Movies\Austin Powers In Goldmember.mkv E:\Purge,
Austin Powers: International Man of Mystery,upright,7.0,51,Move-Item E:\Movies\My Movies\Austin Powers International man of Mystery.mkv E:\Purge,
Austin Powers: The Spy Who Shagged Me,upright,6.6,59,Move-Item E:\Movies\My Movies\Austin Powers the spy who shagged me.mkv E:\Purge,
The Big Lebowski,upright,8.2,69,Move-Item E:\Movies\My Movies\The Big Lebowski.mkv E:\Purge,
Connect,No Rating Found , 7.9,N/A,Move-Item E:\Movies\Fishing\Connect.m4v E:\Purge,
Drift,No Rating Found , 6.3,35,Move-Item E:\Movies\Fishing\Drift.m4v E:\Purge,
Essential Music Videos: Classic '80s,No Rating Found , 6.5,N/A,Move-Item E:\Movies\Music Videos\Beautiful Stranger.mkv E:\Purge,
Frozen,upright,7.6,74,Move-Item E:\Movies\My Movies\Frozen.mp4 E:\Purge,
Indiana Jones and the Last Crusade,upright,8.3,65,Move-Item E:\Movies\My Movies\Indiana Jpnes and the Last Crusade.mkv E:\Purge,
Indiana Jones and the Temple of Doom,upright,7.6,57,Move-Item E:\Movies\My Movies\Indiana Jones and the Temple of Doom.mkv E:\Purge,
The Italian Job,upright,7.0,68,Move-Item E:\Movies\My Movies\Italian Job (2003).mkv E:\Purge,
The Italian Job,upright,7.0,68,Move-Item E:\Movies\My Movies\Italian Job (1969).mkv E:\Purge,
Monsters Inc.,upright,8.1,78,Move-Item E:\Movies\My Movies\Monsters INC.mkv E:\Purge,
Monte Walsh,No Rating Found , 7.1,N/A,Move-Item E:\Movies\My Movies\Monte Walsh.mkv E:\Purge,
Monty Python & the Holy Grail Location Report,No Rating Found , 8.3,90,Move-Item E:\Movies\My Movies\Monty Python and the Holy Grail (1974).mkv E:\Purge,
Nervous Water,No Rating Found , ,,Move-Item E:\Movies\Fishing\Nervous Water.m4v E:\Purge,
Once in a Blue Moon,No Rating Found , 5.9,N/A,Move-Item E:\Movies\Fishing\Once In a Blue Moon.mp4 E:\Purge,
Predator,upright,7.8,36,Move-Item E:\Movies\Fishing\Predator.mp4 E:\Purge,
Quigley Down Under,upright,6.8,N/A,Move-Item E:\Movies\My Movies\Quigley Down Under.mkv E:\Purge,
Raiders of the Lost Ark,upright,8.5,90,Move-Item E:\Movies\My Movies\Indiana Jones And The Raiders of the Lost Ark.mkv E:\Purge,
Riding in your Minds Eye,spilled,,,Move-Item E:\Movies\Horses\Riding in Your Minds Eye.m4v E:\Purge,
Rise,spilled,7.6,68,Move-Item E:\Movies\Fishing\Rise.mp4 E:\Purge,
The Shadow Riders,No Rating Found , 6.8,N/A,Move-Item E:\Movies\My Movies\The Shadow Riders (1982).mkv E:\Purge,
Sin City: A Dame to Kill For,spilled,6.6,46,Move-Item E:\Movies\Sin City A Dame To Kill For.mkv E:\Purge,
The Three Musketeers,upright,5.8,35,Move-Item E:\Movies\My Movies\Three Musketeers (1993).mkv E:\Purge,
